lex	stem	sense	gloss	count	share
MSK/		1	covering, curtain	22	0.88
MSK/		2	covering	3	0.12
MSK=/		1	mixture	1	1.0
MSKH/		1	cast image; drink offering	25	1.0
MSKH=/		1	covering	2	1.0
MSKH==/		1	libation?	1	1.0
MSKN/		1	needy, poor	4	1.0
MSKNT/		1	poverty	1	1.0
MSKNWT/		1	storage-places	6	0.857
MSKNWT/		2	storehouses	1	0.143
MSKT/		1	warp-threads	2	1.0
MSLH/		1	road, highway	25	0.926
MSLH/		2	track	2	0.074
MSLWL/		1	highway	1	1.0
MSMR/		1	nail	3	1.0
MSPD/		1	mourning (rites)	13	0.812
MSPD/		2	mourning	3	0.188
MSPR/		1	number, tale	131	0.985
MSPR/		2	measure	1	0.008
MSPR/		3	the recounting	1	0.008
MSPRT/		1	Mispereth	1	1.0
MSPW>/		1	fodder	5	1.0
MSPXT/		1	scab	2	0.667
MSPXT/		2	a skin rash	1	0.333
MSRT/		1	obligation (of the covenant)	1	1.0
MSRWT/		1	Moseroth	2	1.0
MSR[	nif	1	be assigned to	1	1.0
MSR[	qal	1	deliver up	1	1.0
MSS[	hif	1	cause to melt	1	1.0
MSS[	nif	1	dissolve	16	0.889
MSS[	nif	2	they dropped off	1	0.056
MSS[	nif	3	worthless	1	0.056
MSS[	qal	1	lose courage	1	1.0
MSTR/		1	hiding-place	10	1.0
MSTR=/		1	hiding (of face)	1	1.0
MSTWR/		1	hiding-place, shelter	1	1.0
MSWH/		1	veil, mask	3	1.0
MSWKH/		1	hedge	1	1.0
MSX		1	alternately	1	1.0
MSXR/		1	(uncertain)	1	1.0
MT/		1	men	21	0.955
MT/		2	O men	1	0.045
MTBN/		1	straw-heap	1	1.0
MTG/		1	bridle	4	1.0
MTJ		1	when (interr)	43	1.0
MTKNT/		1	measurement, proportion	3	0.6
MTKNT/		2	proportion	2	0.4
MTM/		1	sound spot	4	1.0
MTN/		1	gift, present	5	1.0
MTNH/		1	gift, present	16	0.941
MTNH/		2	a bribe	1	0.059
MTNJ/		1	Mithnite	1	1.0
MTNJ=/		1	Mattenai	3	1.0
MTNJH/		1	Mattaniah	13	1.0
MTNJM/		1	loins	45	0.957
MTNJM/		2	than the loins	2	0.043
MTQ/		1	sweetness	1	1.0
MTQH/		1	Mithcah	2	1.0
MTQ[	hif	1	make sweet, give a sweet taste	1	0.5
MTQ[	hif	2	it tastes sweet	1	0.5
MTQ[	qal	1	be, become sweet	2	0.667
MTQ[	qal	2	they became sweet	1	0.333
MTRDT/		1	Mithredath	2	1.0
MTT/		1	gift	6	1.0
MTTH/		1	Mattattah	1	1.0
MTTJH/		1	Mattithiah	4	1.0
MTWC>L/		1	Methushael	2	1.0
MTWCLX/		1	Methuselah	6	1.0
MTWQ/		1	sweet	12	1.0
MV</		1	planting-place	2	0.333
MV</		2	planting place(s)	2	0.333
MV</		3	my planting(s)	1	0.167
MV</		4	place	1	0.167
MV<MJM/		1	savoury food	5	0.625
MV<MJM/		2	his delicious	2	0.25
MV<MJM/		3	food(s)	1	0.125
MV>V>/		1	broom	1	1.0
MV>[	peal	1	arrive, reach, happen to	6	0.75
MV>[	peal	2	it came	1	0.125
MV>[	peal	3	it arrived	1	0.125
MVBX/		1	slaughtering-place	1	1.0
MVH/		1	staff, rod, tribe	249	0.988
MVH/		2	O tribe	1	0.004
MVH/		3	of arrows	1	0.004
MVH/		4	his own	1	0.004
MVH=/		1	couch, bed	28	0.966
MVH=/		2	bier	1	0.034
MVH==/		1	below, beneath	18	0.947
MVH==/		2	beneath	1	0.053
MVH===/		1	spreading, outspreading	1	1.0
MVH====/		1	crookedness (of law)	1	1.0
MVJL/		1	rod	1	1.0
MVMN/		1	(hidden) treasure	3	0.6
MVMN/		2	treasures	2	0.4
MVPXT/		1	cloak	1	0.5
MVPXT/		2	shawl	1	0.5
MVR/		1	rain	38	1.0
MVRD/		1	Matred	2	1.0
MVRJ/		1	Matrite	1	1.0
MVR[	hif	1	have (make) rain fall	8	0.5
MVR[	hif	2	I sent rain	3	0.188
MVR[	hif	3	he had caused rain	2	0.125
MVR[	hif	4	about to rain down	2	0.125
MVR[	hif	5	about to bring rain	1	0.062
MVR[	nif	1	be rained on	1	1.0
MVWH/		1	that which is spun, yarn	1	1.0
MW<D/		1	appointed place, appointed time, appointed place or time; season	220	0.987
MW<D/		2	your appointed place	2	0.009
MW<D/		3	signal	1	0.004
MW<DH/		1	appointing	1	1.0
MW<DJH/		1	Moadiah	1	1.0
MW<P/		1	darkness	1	1.0
MW<QH/		1	(uncertain)	1	1.0
MW<YH/		1	counsel, device	6	0.857
MW<YH/		2	counsels	1	0.143
MW>B/		1	Moab	177	0.983
MW>B/		2	O Moab	3	0.017
MW>BJ/		1	Moabite	10	1.0
MWB>/		1	in-coming, entrance	1	1.0
MWCB/		1	seat, dwelling-place, dwelling	40	0.909
MWCB/		2	the location	2	0.045
MWCB/		3	(the) resident	1	0.023
MWCB/		4	the habitable places	1	0.023
MWCJ=/		1	Mushi	8	1.0
MWC[	hif	1	remove	2	0.667
MWC[	hif	2	I have ceased	1	0.333
MWC[	qal	1	withdraw	16	0.941
MWC[	qal	2	it will cease	1	0.059
MWG[	hit	1	melt, flow	2	0.667
MWG[	hit	2	they will flow with	1	0.333
MWG[	nif	1	reel, melt	8	1.0
MWG[	qal	1	melt, faint	3	1.0
MWK[	qal	1	grow poor	4	0.8
MWK[	qal	2	impoverished	1	0.2
MWLDH/		1	Moladah	4	1.0
MWLDT/		1	offspring, descendants, kindred	16	0.727
MWLDT/		2	one born	3	0.136
MWLDT/		3	birth(s)	2	0.091
MWLDT/		4	offspring	1	0.045
MWLH/		1	circumcision	1	1.0
MWLJD/		1	Molid	1	1.0
MWL[	nif	1	be circumcised	15	0.938
MWL[	nif	2	definitely (be circumcised)	1	0.062
MWL[	qal	1	circumcise	10	0.833
MWL[	qal	2	people had circumcised	2	0.167
MWPT/		1	sign, omen, token	36	1.0
MWQC/		1	bait, lure, trap	27	1.0
MWQD/		1	hearth	1	1.0
MWQDH/		1	(uncertain)	1	1.0
MWQ[	hif	1	<uncertain>	1	1.0
MWR>/		1	fear, reverence, awe; terror	7	0.636
MWR>/		2	terror	4	0.364
MWRC/		1	possession	2	1.0
MWRC=/		1	desire	1	1.0
MWRCH/		1	possession	9	1.0
MWRCTJ/		1	from Moresheth	2	1.0
MWRCT_GT/		1	Moresheth Gath	1	1.0
MWRD/		1	descent, slope	5	1.0
MWRG/		1	threshing-sledge	3	1.0
MWRH=/		1	razor	3	1.0
MWRH===/		1	Moreh	3	1.0
MWR[	hif	1	exchange	5	0.455
MWR[	hif	2	changes	3	0.273
MWR[	hif	3	actually (exchange)	2	0.182
MWR[	hif	4	anyone will exchange	1	0.091
MWR[	nif	1	change	1	1.0
MWSB/		1	(uncertain)	1	1.0
MWSD=/		1	foundation, foundation-laying	2	1.0
MWSDH/		1	foundation	1	0.5
MWSDH/		2	the foundations	1	0.5
MWSR/		1	discipline, chastening, correction	47	0.94
MWSR/		2	the training	1	0.02
MWSR/		3	a warning	1	0.02
MWSR/		4	instruction	1	0.02
MWSRH=/		1	Moserah	1	1.0
MWT/		1	death	150	0.98
MWT/		2	O death	1	0.007
MWT/		3	his own	1	0.007
MWT/		4	than death	1	0.007
MWTR/		1	advantage, superiority	2	0.667
MWTR/		2	the advantage	1	0.333
MWT[	hif	1	kill, put to death	83	0.954
MWT[	hif	2	about to put to death	1	0.011
MWT[	hif	3	he caused to die	1	0.011
MWT[	hif	4	who] bring death	1	0.011
MWT[	hif	5	putting	1	0.011
MWT[	hof	1	be killed, be put to death	66	0.971
MWT[	hof	2	were] about to be put to death	2	0.029
MWT[	piel	1	kill	5	0.833
MWT[	piel	2	put to death	1	0.167
MWT[	qal	1	die	595	0.992
MWT[	qal	2	someone will die	3	0.005
MWT[	qal	3	than	1	0.002
MWT[	qal	4	dying	1	0.002
MWV/		1	bar	2	0.5
MWV/		2	pole	1	0.25
MWV/		3	yoke-bar	1	0.25
MWVH/		1	yoke, collar; carrying poles	11	0.917
MWVH/		2	poles	1	0.083
MWV[	hif	1	cause to totter	1	1.0
MWV[	hit	1	be tottering	1	1.0
MWV[	nif	1	be caused to totter	22	0.957
MWV[	nif	2	may they be dropped	1	0.043
MWV[	qal	1	waver, reel, totter	7	0.636
MWV[	qal	2	utterly (shake)	1	0.091
MWV[	qal	3	they shook	1	0.091
MWV[	qal	4	it has slipped	1	0.091
MWV[	qal	5	sways	1	0.091
MWY>/		1	outlet; what comes out	5	0.192
MWY>/		2	springs	3	0.115
MWY>/		3	goings out	3	0.115
MWY>/		4	exits	3	0.115
MWY>/		5	the export	2	0.077
MWY>/		6	the outlet	2	0.077
MWY>/		7	forth	2	0.077
MWY>/		8	a going forth	2	0.077
MWY>/		9	of departure	1	0.038
MWY>/		10	their points	1	0.038
MWY>/		11	a spring	1	0.038
MWY>/		12	a mine	1	0.038
MWY>H/		1	origin, privy	1	0.5
MWY>H/		2	origins	1	0.5
MWYQ/		1	casting	1	0.5
MWYQ/		2	lump	1	0.5
MX/		1	fatling	2	1.0
MX=/		1	marrow	1	1.0
MXB>/		1	hiding-place	1	1.0
MXBRT/		1	junction, thing joined, place of joining	6	0.75
MXBRT/		2	joining	2	0.25
MXBT/		1	griddle	3	0.6
MXBT/		2	tray	1	0.2
MXBT/		3	cake	1	0.2
MXCBH/		1	thought, device	48	0.98
MXCBH/		2	their own schemes	1	0.02
MXCBT/		1	thought, device	4	0.571
MXCBT/		2	design	2	0.286
MXCBT/		3	invention	1	0.143
MXCK/		1	dark place	7	1.0
MXFP/		1	stripping	1	1.0
MXGRT/		1	girding	1	1.0
MXH==[	pual	1	be filled with marrow	1	1.0
MXH=[	qal	1	strike (upon)	1	1.0
MXH[	hif	1	get blotted out	3	1.0
MXH[	nif	1	be wiped out, be blotted out, be exterminated	8	0.889
MXH[	nif	2	it will be wiped away	1	0.111
MXH[	qal	1	wipe off; wipe out	15	0.714
MXH[	qal	2	she wipes clean	3	0.143
MXH[	qal	3	completely (wipe out)	1	0.048
MXH[	qal	4	someone wipes clean	1	0.048
MXH[	qal	5	he will wipe away	1	0.048
MXJ/		1	stroke	1	1.0
MXJD>/		1	Mehida	2	1.0
MXJH/		1	sustenance, preservation of life	2	0.25
MXJH/		2	a raw spot	2	0.25
MXJH/		3	sustenance	2	0.25
MXJH/		4	reviving	2	0.25
MXJJ>L/		1	Mehujael	1	1.0
MXJR/		1	equivalent value; market price	15	1.0
MXLH/		1	disease	4	1.0
MXLH=/		1	round dance	7	0.875
MXLH=/		2	the dance	1	0.125
MXLH==/		1	hole	1	1.0
MXLH===/		1	disease	2	1.0
MXLH====/		1	Mahlah	5	1.0
MXLJ=/		1	Mahli	11	0.917
MXLJ=/		2	Mahlite	1	0.083
MXLP/		1	duplicate	1	1.0
MXLPWT/		1	plaits	2	1.0
MXLQH/		1	division	1	1.0
MXLQT/		1	portion, share; division	36	0.973
MXLQT/		2	portions	1	0.027
MXLT=/		1	Mahalath	2	1.0
MXLTJ/		1	Meholathite	2	1.0
MXLWN/		1	Mahlon	4	1.0
MXMD/		1	desirable, precious thing	5	0.385
MXMD/		2	things	3	0.231
MXMD/		3	desirable thing	3	0.231
MXMD/		4	my desirable	1	0.077
MXMD/		5	desirableness(es)	1	0.077
MXML/		1	(uncertain)	1	1.0
MXNH/		1	camp, army	213	0.995
MXNH/		2	company	1	0.005
MXNJM/		1	Mahanaim	10	1.0
MXNQ/		1	suffocation	1	1.0
MXQR/		1	(uncertain)	1	1.0
MXQ[	qal	1	rub off, skin	1	1.0
MXR/		1	the next day, tomorrow	52	1.0
MXRCH/		1	ploughshare	2	1.0
MXRT/		1	the following day (n); on the next day (adv)	30	0.938
MXRT/		2	their next	1	0.031
MXRT/		3	day	1	0.031
MXSH/		1	refuge, shelter	20	1.0
MXSJH/		1	Mahseiah	2	1.0
MXSWM/		1	muzzle	1	1.0
MXSWR/		1	want, need	13	1.0
MXT/		1	Mahath	3	1.0
MXTH/		1	fire-pan	12	0.545
MXTH/		2	fire-pans	10	0.455
MXTH=/		1	terror, destruction, ruin	11	1.0
MXWGH/		1	compasses	1	1.0
MXWJ>L/		1	Mehujael	1	1.0
MXWJM/		1	Mahumites	1	1.0
MXWZ/		1	shipyard	1	1.0
MXY/		1	breaking to pieces	1	1.0
MXYB/		1	hewing	3	1.0
MXYH/		1	half	2	1.0
MXYJT/		1	half, middle	14	0.875
MXYJT/		2	than (the) half	1	0.062
MXYJT/		3	the middle	1	0.062
MXY[	qal	1	dash, beat to pieces	12	1.0
MXZH/		1	vision	4	1.0
MXZH=/		1	opening for light, window	4	1.0
MXZJ>WT/		1	Mahazioth	2	1.0
MY/		1	chaff	7	0.875
MY/		2	be] like chaff	1	0.125
MY</		1	couch, bed	1	1.0
MY<D/		1	step	2	1.0
MY<R/		1	small quantity	2	0.4
MY<R/		2	time	1	0.2
MY<R/		3	a small thing	1	0.2
MY<R/		4	a small number	1	0.2
MY>[	hif	1	present	3	0.75
MY>[	hif	2	about to deliver	1	0.25
MY>[	nif	1	be found	134	0.993
MY>[	nif	2	actually (be found)	1	0.007
MY>[	qal	1	find	238	0.956
MY>[	qal	2	[one	3	0.012
MY>[	qal	3	[those	2	0.008
MY>[	qal	4	people found	1	0.004
MY>[	qal	5	they will come upon	1	0.004
MY>[	qal	6	you will meet	1	0.004
MY>[	qal	7	people will find	1	0.004
MY>[	qal	8	brings out	1	0.004
MY>[	qal	9	someone found	1	0.004
MYB/		1	post (of duty)	7	0.7
MYB/		2	the standing-place	2	0.2
MYB/		3	office	1	0.1
MYB=/		1	post?	1	1.0
MYBH/		1	pillar	32	1.0
MYBH=/		1	guard, watch	1	1.0
MYBJH/		1	Mezobaite	1	1.0
MYBT/		1	stump of a tree	2	0.5
MYBT/		2	stump	2	0.5
MYD/		1	stronghold	11	1.0
MYH/		1	unleavened bread	49	0.925
MYH/		2	bread(s)	4	0.075
MYH==/		1	Mozah	1	1.0
MYH[	nif	1	be drained out	3	1.0
MYH[	qal	1	drain, drain out	4	1.0
MYLH/		1	bell	1	1.0
MYNPT/		1	turban, headband	12	1.0
MYPH/		1	watch-tower, outlook-point	4	1.0
MYPH=/		1	Mizpah	32	1.0
MYPH==/		1	Mizpah	3	1.0
MYR/		1	straits, distress	1	0.333
MYR/		2	distress	1	0.333
MYR/		3	places	1	0.333
MYRJ/		1	Egyptian	30	1.0
MYRP/		1	melting-pot	2	1.0
MYWH/		1	order, commandment	179	0.994
MYWH/		2	order	1	0.006
MYWLH/		1	deep, depths	11	0.917
MYWLH/		2	hollow	1	0.083
MYWQ/		1	stress	6	1.0
MYWQ=/		1	support	2	1.0
MYWQH/		1	stress	7	1.0
MYWR=/		1	affliction; fortification	23	0.958
MYWR=/		2	siege work	1	0.042
MYWRH/		1	fortified place, rampart	8	1.0
MYX/		1	forehead	13	1.0
MYXH/		1	greave(s)	1	1.0
MYY[	qal	1	sip	1	1.0
MZ<R/		1	a little, a trifle, a few	2	0.5
MZ<R/		2	fewness	2	0.5
MZBX/		1	altar	368	0.997
MZBX/		2	O altar	1	0.003
MZG/		1	mixed wine	1	1.0
MZH/		1	sucked out, empty	1	1.0
MZH=/		1	Mizzah	3	1.0
MZJX/		1	girdle	1	1.0
MZLG/		1	fork	5	1.0
MZLG=/		1	fork	2	1.0
MZMH/		1	plan, plot	10	0.526
MZMH/		2	purpose	4	0.211
MZMH/		3	of evil devices	2	0.105
MZMH/		4	plan	1	0.053
MZMH/		5	thoughts	1	0.053
MZMH/		6	wickedness	1	0.053
MZMRH/		1	pruning-knife	2	0.5
MZMRH/		2	knives	1	0.25
MZMRH/		3	your pruning	1	0.25
MZMWR/		1	psalm	57	1.0
MZR</		1	seed-land	1	1.0
MZRH/		1	pitchfork	1	0.5
MZRH/		2	a winnowing fork	1	0.5
MZRQ/		1	sprinkling basin	31	0.969
MZRQ/		2	like the bowls	1	0.031
MZRX/		1	sunrise; east	74	1.0
MZW/		1	garner?	1	1.0
MZWN/		1	food	2	1.0
MZWZH/		1	doorpost	19	1.0
N<H/		1	Noah	4	1.0
N<H=/		1	Neah	1	1.0
N<J>L/		1	Neiel	1	1.0
N<JM/		1	pleasant, lovely	11	1.0
N<L/		1	sandal	20	0.909
N<L/		2	a pair of sandals	2	0.091
N<M/		1	kindness	5	0.714
N<M/		2	Favor	2	0.286
N<M=/		1	Naam	1	1.0
N<MH/		1	Naamah	4	1.0
N<MH=/		1	Naamah	1	1.0
N<MJ/		1	Naamite	1	1.0
N<MN/		1	Naaman	16	1.0
N<MTJ/		1	Naamathite	4	1.0
N<M[	qal	1	be pleasant, delightful	8	1.0
N<R/		1	youth, young boy, lad, servant	237	0.992
N<R/		2	our young	1	0.004
N<R/		3	children	1	0.004
N<R=/		1	youth	3	0.75
N<R=/		2	than youth	1	0.25
N<RH/		1	young girl, maid	62	0.984
N<RH/		2	the female servants	1	0.016
N<RJ/		1	Naarai	1	1.0
N<RJH/		1	Neariah	3	1.0
N<RN/		1	Naaran	1	1.0
N<RT/		1	tow	2	1.0
N<R[	hit	1	shake oneself	1	1.0
N<R[	nif	1	be shaken off, shake oneself	2	0.667
N<R[	nif	2	I will shake myself free	1	0.333
N<R[	piel	1	shake off, shake out	2	0.667
N<R[	piel	2	may he shake out	1	0.333
N<R[	qal	1	shake, shake off	2	0.5
N<R[	qal	2	I shook out	1	0.25
N<R[	qal	3	shaken out	1	0.25
N<YWY/		1	thorn-bush	2	1.0
N>		1	now; please; pray (particle giving emphasis)	404	1.0
N>=/		1	Thebes	4	1.0
N>D/		1	skin-bottle	6	1.0
N>M/		1	utterance, declaration	376	1.0
N>P[	piel	1	commit adultery	15	1.0
N>P[	qal	1	commit adultery	10	0.625
N>P[	qal	2	adulterer	3	0.188
N>P[	qal	3	of adulteresses	3	0.188
N>QH/		1	groaning	4	1.0
N>Q[	qal	1	groan	2	1.0
N>R[	piel	1	abandon?	2	1.0
N>WH/		1	comely, lovely; fitting	5	0.556
N>WH/		2	lovely	4	0.444
N>YH/		1	contumely	2	1.0
N>YH=/		1	contempt	3	1.0
N>Y[	htpo	1	reviled	1	1.0
N>Y[	piel	1	treat without respect	7	0.538
N>Y[	piel	2	[those	3	0.231
N>Y[	piel	3	indeed (declare contemptible)	2	0.154
N>Y[	piel	4	they treated with contempt	1	0.077
N>Y[	qal	1	reject, disdain	7	1.0
NB/		1	Nob	4	1.0
NB<[	hif	1	cause to flow, bubble	8	0.889
NB<[	hif	2	it ferments	1	0.111
NB<[	qal	1	flow, bubble	1	1.0
NBB[	qal	1	be hollow	4	1.0
NBCN/		1	Nibshan	1	1.0
NBJ>/		1	prophet	315	1.0
NBJ>H/		1	prophetess	6	1.0
NBJWT/		1	Nebaioth	5	1.0
NBK/		1	sandy ground	1	1.0
NBL/		1	foolish	17	0.944
NBL/		2	the foolish women	1	0.056
NBLH/		1	stupidity; disgrace	10	0.769
NBLH/		2	folly	3	0.231
NBLH=/		1	corpse	43	1.0
NBLV/		1	Neballat	1	1.0
NBLWT/		1	vagina, shame	1	1.0
NBL[	piel	1	treat with contumely	2	0.667
NBL[	piel	2	treat with contempt	1	0.333
NBL[	qal	1	wither, fade; be foolish	14	0.737
NBL[	qal	2	surely (wear out)	2	0.105
NBL[	qal	3	withered fruit	1	0.053
NBL[	qal	4	it crumbles away	1	0.053
NBL[	qal	5	you have been foolish	1	0.053
NBV/		1	Nebat	25	1.0
NBV[	hif	1	look (in a direction), look at, regard	67	0.985
NBV[	hif	2	people look	1	0.015
NBV[	piel	1	look at	1	1.0
NBW/		1	Nebo	1	1.0
NBW=/		1	Nebo	12	1.0
NBW>H/		1	word of prophet	3	1.0
NBWCZBN/		1	Nebushazban	1	1.0
NBWKDN>YR/		1	Nebuchadnezzar	27	1.0
NBWKDNYR/		1	Nebuchadnezzar	29	1.0
NBWT/		1	Naboth	22	1.0
NBWZR>DN/		1	Nebuzaradan	15	1.0
NBX/		1	Nobah	2	1.0
NBX=/		1	Nobah	1	1.0
NBXZ/		1	Nibhaz	1	1.0
NBZBH/		1	present, reward	2	1.0
NCB[	hif	1	cause to blow, drive away	1	0.5
NCB[	hif	2	he makes blow	1	0.5
NCB[	qal	1	blow	1	1.0
NCH/		1	thigh-nerve	2	1.0
NCJ/		1	debt	1	1.0
NCJH/		1	oblivion	1	1.0
NCJN/		1	wives	1	1.0
NCJQH/		1	kiss	2	1.0
NCK/		1	interest (on debt)	12	1.0
NCK=[	hif	1	make one give interest	3	1.0
NCK=[	qal	1	claim interest	1	0.5
NCK=[	qal	2	[those	1	0.5
NCKH/		1	chamber	3	1.0
NCK[	piel	1	bite	2	1.0
NCK[	qal	1	bite	4	0.667
NCK[	qal	2	who is] bitten	2	0.333
NCL[	piel	1	clear out	1	1.0
NCL[	qal	1	slip off, draw off, clear away	2	0.333
NCL[	qal	2	he will clear away	2	0.333
NCL[	qal	3	it will slip off	1	0.167
NCL[	qal	4	it will drop off	1	0.167
NCMH/		1	blowing; breath	18	0.75
NCMH/		2	breathing thing	4	0.167
NCMH/		3	thing	2	0.083
NCM[	qal	1	pant	1	1.0
NCP/		1	twilight, darkness, evening	12	1.0
NCP[	qal	1	blow, blow upon	1	0.5
NCP[	qal	2	he blows	1	0.5
NCQ[	hif	1	touch closely	1	1.0
NCQ[	piel	1	kiss	3	0.6
NCQ[	piel	2	kiss	2	0.4
NCQ[	qal	1	kiss	20	0.952
NCQ[	qal	2	I want to kiss	1	0.048
NCR/		1	eagle, vulture	23	0.885
NCR/		2	than eagles	3	0.115
NCTWN/		1	letter	2	1.0
NCT[	nif	1	be dried up	1	1.0
NCT[	qal	1	dry	2	1.0
ND/		1	wall, dam	6	1.0
NDB/		1	Nadab	20	1.0
NDBH/		1	free will; voluntary gift	19	0.731
NDBH/		2	your freewill	3	0.115
NDBH/		3	offerings	2	0.077
NDBH/		4	of voluntariness(es)	1	0.038
NDBH/		5	offering	1	0.038
NDBJH/		1	Nedabiah	1	1.0
NDBK/		1	layer	2	1.0
NDB[	hit	1	volunteer	7	0.538
NDB[	hit	2	they made a contribution	3	0.231
NDB[	hit	3	offering of freewill offerings	2	0.154
NDB[	hit	4	offered	1	0.077
NDB[	qal	1	urge on, prompt, impel	2	1.0
NDD[	hof	1	be chased away	2	1.0
NDD[	piel	1	flee away	1	1.0
NDD[	qal	1	run away, flee; wander; flutter (wings)	18	0.857
NDD[	qal	2	fluttering	2	0.095
NDD[	qal	3	wanderers	1	0.048
NDH/		1	menstrual flow; excretion	29	1.0
NDH=/		1	gift, reward	1	1.0
NDJB/		1	willing, inclined; noble	21	0.84
NDJB/		2	willing	4	0.16
NDJBH/		1	willingness; nobleness	2	0.667
NDJBH/		2	dignity	1	0.333
NDN/		1	sheath	1	1.0
NDNH/		1	sheath, body?	1	1.0
NDP[	nif	1	be driven away	5	1.0
NDP[	qal	1	drive away, scatter	1	0.5
NDP[	qal	2	may you drive about	1	0.5
NDR/		1	vow	55	0.917
NDR/		2	your votive	3	0.05
NDR/		3	your votive offerings	1	0.017
NDR/		4	offerings	1	0.017
NDR[	qal	1	make a vow	28	0.903
NDR[	qal	2	make vows	3	0.097
NDX[	hif	1	drive away, scatter	4	0.308
NDX[	hif	2	banish	3	0.231
NDX[	hif	3	he thrust aside	2	0.154
NDX[	hif	4	he enticed away	1	0.077
NDX[	hif	5	I will drive out	1	0.077
NDX[	hif	6	they have driven away	1	0.077
NDX[	hif	7	have you driven out	1	0.077
NDX[	hof	1	be chased away	1	1.0
NDX[	nif	1	be scattered	13	0.591
NDX[	nif	2	they had been driven away	3	0.136
NDX[	nif	3	you will be drawn aside	2	0.091
NDX[	nif	4	who is] outcast	2	0.091
NDX[	nif	5	it will be impelled	1	0.045
NDX[	nif	6	going astray	1	0.045
NDX[	pual	1	be thrust into	1	1.0
NDX[	qal	1	wield	1	1.0
NF>[	hif	1	cause to carry, cause to bring	1	0.5
NF>[	hif	2	they will cause to bring	1	0.5
NF>[	hit	1	lift oneself up	7	0.778
NF>[	hit	2	it lifts itself up	1	0.111
NF>[	hit	3	are] the raises himself	1	0.111
NF>[	nif	1	be lifted, carried	26	0.788
NF>[	nif	2	raised	3	0.091
NF>[	nif	3	ever (be taken away)	2	0.061
NF>[	nif	4	exalted	2	0.061
NF>[	piel	1	lift up, carry, assist	3	0.375
NF>[	piel	2	lifting	2	0.25
NF>[	piel	3	he had exalted	1	0.125
NF>[	piel	4	someone will take away	1	0.125
NF>[	piel	5	carry	1	0.125
NF>[	qal	1	lift up, bear, carry	533	0.971
NF>[	qal	2	bringing	2	0.004
NF>[	qal	3	endure	2	0.004
NF>[	qal	4	someone took	1	0.002
NF>[	qal	5	people lifted up	1	0.002
NF>[	qal	6	carrier	1	0.002
NF>[	qal	7	someone will carry off	1	0.002
NF>[	qal	8	O bear	1	0.002
NF>[	qal	9	actually (carry)	1	0.002
NF>[	qal	10	certainly (forgive)	1	0.002
NF>[	qal	11	someone will lift up	1	0.002
NF>[	qal	12	it arises	1	0.002
NF>[	qal	13	someone will carry away	1	0.002
NF>[	qal	14	people will raise	1	0.002
NF>[	qal	15	receive	1	0.002
NFG[	hif	1	overtake	26	0.812
NFG[	hif	2	they overtook	5	0.156
NFG[	hif	3	certainly (overtake)	1	0.031
NFJ>/		1	prince	127	0.977
NFJ>/		2	the chief	1	0.008
NFJ>/		3	ruler	1	0.008
NFJ>/		4	O princes	1	0.008
NFJ>=/		1	mist	4	1.0
NFW>H/		1	load	1	1.0
NG</		1	blow, assault; plague	75	1.0
NG<[	hif	1	touch, reach, come	36	1.0
NG<[	nif	1	be touched	1	1.0
NG<[	piel	1	strike	2	1.0
NG<[	pual	1	be stricken	1	1.0
NG<[	qal	1	touch, reach; come to	98	0.942
NG<[	qal	2	stricken	2	0.019
NG<[	qal	3	it arrived	2	0.019
NG<[	qal	4	about to touch	1	0.01
NG<[	qal	5	people touched	1	0.01
NGB/		1	the dry country; south; Negev	108	1.0
NGC[	hif	1	bring near, bring	30	0.938
NGC[	hif	2	they brought	2	0.062
NGC[	hit	1	draw near	1	1.0
NGC[	hof	1	be brought near, brought	2	1.0
NGC[	nif	1	draw near, approach	12	0.706
NGC[	nif	2	he approached	2	0.118
NGC[	nif	3	near	1	0.059
NGC[	nif	4	he will come near	1	0.059
NGC[	nif	5	it has drawn near	1	0.059
NGC[	qal	1	draw near, approach	61	0.953
NGC[	qal	2	draw	3	0.047
NGD/		1	opposite, before (n, prep, adv)	149	1.0
NGD[	hif	1	make known, tell, report	323	0.982
NGD[	hif	2	he reported	2	0.006
NGD[	hif	3	actually (tell)	1	0.003
NGD[	hif	4	you have made known	1	0.003
NGD[	hif	5	about to tell	1	0.003
NGD[	hif	6	certainly (tell)	1	0.003
NGD[	hof	1	be reported	33	0.943
NGD[	hof	2	fully (tell)	1	0.029
NGD[	hof	3	fully (be told)	1	0.029
NGF[	nif	1	be hard pressed, jostle one another	2	0.5
NGF[	nif	2	it will oppress	1	0.25
NGF[	nif	3	he was oppressed	1	0.25
NGF[	qal	1	beat, drive	12	0.632
NGF[	qal	2	he will press	2	0.105
NGF[	qal	3	he exacted	1	0.053
NGF[	qal	4	the oppresses	1	0.053
NGF[	qal	5	you drive hard	1	0.053
NGF[	qal	6	ruler	1	0.053
NGF[	qal	7	of a driver	1	0.053
NGH/		1	brightness, shining	19	1.0
NGHH/		1	brightness	1	1.0
NGH[	hif	1	cause to shine	2	0.667
NGH[	hif	2	it will make shine	1	0.333
NGH[	qal	1	shine	3	1.0
NGJD/		1	chief, leader	40	0.93
NGJD/		2	of nobles	1	0.023
NGJD/		3	the supervisor	1	0.023
NGJD/		4	commanders	1	0.023
NGJNH/		1	string music	9	0.643
NGJNH/		2	song	3	0.214
NGJNH/		3	taunt songs	1	0.071
