strong	lemma	en	es	fr	pt	zh	zh-Hant
H0634	אֵסַר־חַדּוֹן	Esarhaddon	Esar-hadón	Asarhaddôn	Esar-Hadom	以撒哈顿，《思》厄撒哈冬	以撒哈頓，《思》厄撒哈冬
H0635	אֶסְתֵּר	Esther	Ester	Esther	Ester	以斯帖，《思》艾斯德尔	以斯帖，《思》艾斯德爾
H0636	אָע	wood	madera *				
H0637	אַף	also	fosas nasales	narines	narinas	鼻孔	鼻孔
H0638	אַף	also	también *				
H0639	אַף	face	nariz *				
H0640	אָפַד	gird	atar alrededor de la cintura (de alguien)	nouer autour de la taille (de quelqu'un)	cingir	系在（某人）腰间；束（某人的）腰	繫在（某人）腰間；束（某人的）腰
H0641	אֵפֹד	Ephod	delantal de lino	pagne de lin, éphod de lin	éfode	细麻布的围裙；细麻布以弗得	細麻布的圍裙；細麻布以弗得
H0642	אֵפֻדָּה	ephod	cubierta	revêtement	cinturão	覆盖层；镀层	覆蓋層；鍍層
H0643	אַפֶּדֶן	palace	tienda real	tente royale	tenda real	王室的帐幕；王家的帐棚	王室的帳幕；王家的帳棚
H0644	אָפָה	bake	hornear	cuire	assar	烘烤	烘烤
H0645	אֵפוֹ	then	entonces	alors	então	这样；现在；如此；就；那么	這樣；現在；如此；就；那麼
H0646	אֵפוֹד	ephod	efod *				
H0647	אֲפִיחַ	Aphiah	Afía	Afiah	Afias	亚斐亚，《思》阿非亚	亞斐亞，《思》阿非亞
H0648	אָפִיל	late	tarde	tardif	do tarde	迟的，晚的	遲的，晚的
H0649	אַפַּיִם	Appaim	Apaim	Appaïm	Apaim	亚遍，《思》阿帕殷	亞遍，《思》阿帕殷
H0650	אָפִיק	channel	cauce	oued	wadi	干河床，山谷；水道，水沟，河道；溪水	乾河牀，山谷；水道，水溝，河道；溪水
H0651	אָפֵל	gloom	totalmente oscuro	totalement noir	trevas	漆黑，全然黑暗	漆黑，全然黑暗
H0652	אֹפֶל	darkness	oscuridad profunda	obscurité profonde	escuridão	漆黑，黑暗，幽暗；死荫；黑夜	漆黑，黑暗，幽暗；死蔭；黑夜
H0653	אֲפֵלָה	darkness	oscuridad profunda	obscurité profonde	escuridão	漆黑，黑暗，幽暗，浓密的黑暗；沉沉的黑夜	漆黑，黑暗，幽暗，濃密的黑暗；沉沉的黑夜
H0654	אֶפְלָל	Ephlal	Eflal	Eflal	Eflal	以弗拉，《思》厄弗拉耳	以弗拉，《思》厄弗拉耳
H0655	אֹפֶן	time	tiempo propicio	bon moment	na hora certa	合时；合适的时机	合時；合適的時機
H0656	אָפֵס	end	estar acabado	être fini	acabar	用尽，用完，用光，花尽，花光	用盡，用完，用光，花盡，花光
H0657	אֶפֶס	end	fin *				
H0658	אֶפֶס דַּמִּים	Ephes-dammim	Efes-Damim	Èfès-Dammim	Efes-Damim	以弗‧大悯，《思》厄斐斯达明	以弗‧大憫，《思》厄斐斯達明
H0659	אֵפַע	worthless	indigno	inutile	inútil	一文不值，没有价值；虚无	一文不值，沒有價值；虛無
H0660	אֶפְעֶה	viper	víbora	vipère	víbora	毒蛇，蝮蛇，虺蛇	毒蛇，蝮蛇，虺蛇
H0661	אָפַף	surround	rodear	entourer	cercar completamente	包围，环绕；缠绕；掩盖	包圍，環繞；纏繞；掩蓋
H0662	אָפַק	refrain	restringirse a uno mismo	se contenir	conter-se	抑制自己；强忍；压住	抑制自己；強忍；壓住
H0663	אֲפֵק	Aphek	Afec *				
H0664	אֲפֵקָה	Aphekah	Afeca	Aféqa	Afeca	亚非加，《思》阿费克	亞非加，《思》阿費克
H0665	אֵפֶר	ashes	cenizas	cendres	cinzas	灰	灰
H0666	אֲפֵר	bandage	venda, vendaje, tela	bande	pano	带子；布；头巾	帶子；布；頭巾
H0667	אֶפְרֹחַ	young	polluelos	oisillons	filhote	雏鸟，小鸟	雛鳥，小鳥
H0668	אַפִּרְיוֹן	carriage	litera	palanquin	liteira	轿子；车子	轎子；車子
H0669	אֶפְרַיִם	Ephraim	Efraín	Éphraïm	Efraim	以法莲，《思》厄弗辣因	以法蓮，《思》厄弗辣因
H0670	אֲפָרְסַי	Persia	persa *				
H0671	אֲפַרְסְכַי	governors	sátrapa *				
H0672	אֶפְרָת	Ephrathah	Efrata *				
H0673	אֶפְרָתִי	Ephraimite	Efratita	Èfratite	efrateu	以法他人；来自以法他的，《思》厄弗辣大人	以法他人；來自以法他的，《思》厄弗辣大人
H0674	אַפְּתֹם	revenue	tributo *				
H0675	אֶצְבּוֹן	Ezbon	Ezbón	Ezbôn	Esbom	以斯本，《思》厄兹朋	以斯本，《思》厄茲朋
H0676	אֶצְבַּע	finger	dedo	doigt	dedo	手指，指头；手段，所做的	手指，指頭；手段，所做的
H0677	אֶצְבַּע	digit	dedo *				
H0678	אָצִיל	chief	lugar más recóndito	confins	parte mais distante	最远之处；地角；遥远的角落	最遠之處；地角；遙遠的角落
H0679	אַצִּיל	joint	muñeca	articulation du bras	axilas	手臂的关节；手腕；手肘；腋窝	手臂的關節；手腕；手肘；腋窩
H0680	אָצַל	reserve	tomar parte de	prendre part à	reservar	取去部分；保留，留下；留出；分出来	取去部分；保留，留下；留出；分出來
H0681	אֵצֶל	beside	al lado	à côté de	ao lado	旁边；靠近；接近；附近	旁邊；靠近；接近；附近
H0682	אָצֵל	Azel	Azel	Azel	Azel	亚悉，《思》阿责耳	亞悉，《思》阿責耳
H0683	אֲצַלְיָהוּ	Azaliah	Azalía	Atsalya	Azalias	亚萨利雅，《思》阿匝里雅	亞薩利雅，《思》阿匝里雅
H0684	אֹצֶם	Ozem	Ozem	Otsem	Ozém	阿鲜，《思》敖曾	阿鮮，《思》敖曾
H0685	אֶצְעָדָה	armlet	brazalete	bracelet	bracelete	臂镯；手镯	臂鐲；手鐲
H0686	אָצַר	store	acumular	accumuler	entesourar	积蓄；储藏；堆积	積蓄；儲藏；堆積
H0687	אֶצֶר	Ezer	Ezer	Étsèr	Eser	以察，《思》厄责尔	以察，《思》厄責爾
H0688	אֶקְדָּח	carbuncle	piedra preciosa	pierre précieuse	pedra cintilante	宝石；珠宝	寶石；珠寶
H0689	אַקּוֹ	wild goat	ibex	bouquetin	cabra montesa	野生山羊，野山羊	野生山羊，野山羊
H0690	אֲרָא	Ara	Ara	Ara	Ara	亚拉，《思》阿辣	亞拉，《思》阿辣
H0691	אֶרְאֵל	hero	guerrero poderoso	puissant guerrier	guerreiros poderosos	大能的勇士；勇猛的战士；英雄；豪杰	大能的勇士；勇猛的戰士；英雄；豪傑
H0692	אַרְאֵלִי	Areli	Areli	Areéli	Areli	亚列利，《思》阿勒里	亞列利，《思》阿勒里
H0693	אָרַב	ambush	acechar	s'embusquer	espreitar	埋伏，潜伏；设下伏兵	埋伏，潛伏；設下伏兵
H0694	אֲרָב	Arab	Arab	Arab	Arabe	亚拉，《思》阿辣布	亞拉，《思》阿辣布
H0695	אֶרֶב	ambush	escondrijo	repaire	esconderijo	躲藏处；隐密处；洞穴	躲藏處；隱密處；洞穴
H0696	אֹרֶב	ambush	emboscada	piège	cilada	埋伏；陷阱；阴谋；谋害	埋伏；陷阱；陰謀；謀害
H0697	אַרְבֶּה	locust	langosta	sauterelle	gafanhoto	蝗虫	蝗蟲
H0698	אׇרֳבָה	skill	lucha de manos	tendre les mains	movimento intenso dos braços (das mãos)	用手挣扎；伸展双手；伸开手；伸出手来	用手掙扎；伸展雙手；伸開手；伸出手來
H0699	אֲרֻבָּה	window	abertura	ouverture, trou, cavité, fenêtre, écluse	abertura, janela, buraco	开口；洞孔；窗户；水闸	開口；洞孔；窗戶；水閘
H0700	אֲרֻבּוֹת	Arubboth	Arubot	Aroubboth	Arubote	亚鲁泊，《思》阿鲁波特	亞魯泊，《思》阿魯波特
H0701	אַרְבִּי	Arbite	Arabita	Arbite	arbita	亚巴人，《思》阿辣布人	亞巴人，《思》阿辣布人
H0702	אַרְבַּע	four	cuatro	quatre	quatro	四	四
H0703	אַרְבַּע	four	cuatro *				
H0704		Arba	Arbá *				
H0705	אַרְבָּעִים	forty	cuarenta *				
H0706	אַרְבַּעְתַּיִם	fourfold	cuádruple *				
H0707	אָרַג	weave	tejer	tisser	tecer	编织	編織
H0708	אֶרֶג	shuttle	volante	navette	lançadeira (de tear)	梭子	梭子
H0709	אַרְגֹּב	Argob	Argob	Argob	Argobe	亚珥歌伯，《思》阿尔哥布	亞珥歌伯，《思》阿爾哥布
H0710	אַרְגְּוָן	purple	púrpura-rojiza	pourpre rouge	tecido de cor púrpura	紫红色；朱红色纱线；深红色的毛线	紫紅色；朱紅色紗線；深紅色的毛線
H0711	אַרְגְּוָן	purple	púrpura *				
H0712	אַרְגָּז	box	caja	coffret	caixa	柜；箱子；匣子；袋子	櫃；箱子；匣子；袋子
H0713	אַרְגָּמָן	purple	púrpura *				
H0714	אַרְדְּ	Ard	Ard	Ard	Arde	亚勒，《思》阿尔得，阿尔德	亞勒，《思》阿爾得，阿爾德
H0715	אַרְדּוֹן	Ardon	Ardón	Ardôn	Ardom	押墩，《思》阿尔冬	押墩，《思》阿爾冬
H0716	אַרְדִּי	Ardite	Ardita	Ardite	ardita	亚勒人，亚勒族，《思》阿尔德家族	亞勒人，亞勒族，《思》阿爾德家族
H0717	אָרָה	pluck	recoger	grappiller	colher, apanhar	摘取，采摘；收集	摘取，採摘；收集
H0718	אֲרוּ	behold!	he aquí *				
H0719	אַרְוַד	Arvad	Arvad	Arvad	Arvade	亚发，《思》阿尔瓦得	亞發，《思》阿爾瓦得
H0720	אֲרוֹד	Arod	Arod	Arod	Arode	亚律，《思》阿洛得	亞律，《思》阿洛得
H0721	אַרְוָדִי	Arvadite	Arvadita	Arvadite	arvadita	亚瓦底人，亚发的居民，《思》阿尔瓦得人	亞瓦底人，亞發的居民，《思》阿爾瓦得人
H0722	אֲרוֹדִי	Arodi	Arod	Arod	Arodi	亚罗底，《思》阿洛狄	亞羅底，《思》阿洛狄
H0723	אֻרְוָה	stall	establo	écurie	estábulo	棚，厩	棚，廄
H0724	אֲרוּכָה	health	reparar	réparer	reforma	修理，修补；修造；整修	修理，修補；修造；整修
H0725	אֲרוּמָה	Arumah	Aruma	Arouma	Arumá	亚鲁玛，《思》阿鲁玛	亞魯瑪，《思》阿魯瑪
H0726	אֲרוֹמִי	Syrian	sirio *				
H0727	אָרוֹן	ark	caja	caisse	caixa	箱子；柜子；棺材	箱子；櫃子；棺材
H0728	אֲרַוְנָה	Araunah	Arauna	Arawna	Araúna	亚劳拿，《思》敖尔难	亞勞拿，《思》敖爾難
H0729	אָרַז	reinforced	reforzado *	fort	bem trançado	结实；稳固，牢固	結實；穩固，牢固
H0730	אֶרֶז	cedar	cedro	cèdre (du Liban)	cedro	香柏树，香柏木	香柏樹，香柏木
H0731	אַרְזָה	cedar	trabajo de cedro	boiserie de cèdre	madeiramento de cedro	香柏木部件；香柏木板	香柏木部件；香柏木板
H0732	אָרַח	journey	viajar	voyager	viajar	旅行	旅行
H0733	אָרַח	Arah	Ara	Arah	Ará	亚拉，《思》阿辣黑	亞拉，《思》阿辣黑
H0734	אֹרַח	way	camino	chemin	caminho	小径；路；道	小徑；路；道
H0735	אֹרַח	way	camino *				
H0736	אֹרְחָה	caravan	caravana	caravane	caravana	旅行队；商队；结伴的客旅	旅行隊；商隊；結伴的客旅
H0737	אֲרֻחָה	ration	porción	entretien	porção	日常的生活费用；日常需用的食物；一份	日常的生活費用；日常需用的食物；一份
H0738	אֲרִי	lion	león *				
H0739	אֲרִיאֵל	Ariel	poderoso guerrero	puissant guerrier	grande guerreiro	大能的勇士；勇猛的战士	大能的勇士；勇猛的戰士
H0740	אֲרִיאֵל	Ariel	Ariel *				
H0741	אֲרִיאֵל	altar	altar *				
H0742	אֲרִידַי	Aridai	Aridai	Aridaï	Aridai	亚利代，《思》阿黎待	亞利代，《思》阿黎待
H0743	אֲרִידָתָא	Aridatha	Aridata	Aridata	Aridata	亚利大他，《思》阿黎大达	亞利大他，《思》阿黎大達
H0744	אַרְיֵה	lion	león *				
H0745	אַרְיֵה	Arieh	Arieh *				
H0746	אֲרְיוֹךְ	Arioch	Arioc	Aryok	Arioque	亚略，《思》阿黎约客	亞略，《思》阿黎約客
H0747	אֲרִיסַי	Arisai	Arisai	Arisaï	Arisai	亚利赛，《思》阿黎赛	亞利賽，《思》阿黎賽
H0748	אָרַךְ	prolong	alargarse	être long	ser longo	长的；加长，增加长度	長的；加長，增加長度
H0749	אֲרַךְ	be proper	convenir *				
H0750	אָרֵךְ	slow	largo	long	longo	长	長
H0751	אֶרֶךְ	Erech	Erec	Èrek	Ereque	以力，《思》厄勒客	以力，《思》厄勒客
H0752	אָרֹךְ	long	largo	long	longo	长；冗长	長；冗長
H0753	אֹרֶךְ	length	longitud	longueur	comprimento	长度	長度
H0754	אַרְכָּא	lengthening	prolongación *				
H0755	אַרְכֻבָה	knee	rodilla *				
H0756	אַרְכְּוַי	Erech	Erec *				
H0757	אַרְכִּי	Archite	Arquita	Arkite	arquita	亚基人，《思》阿尔基人	亞基人，《思》阿爾基人
H0758	אֲרָם	Aram	Maaca	Aram Maaka	Maacá, na Síria	亚兰·玛迦，《现》叙利亚人的玛迦，《思》玛阿加的阿兰	亞蘭·瑪迦，《現》敘利亞人的瑪迦，《思》瑪阿加的阿蘭
H0759	אַרְמוֹן	citadel	ciudadela	palais	castelo	城堡；内院；卫所；堡垒；宫殿	城堡；內院；衛所；堡壘；宮殿
H0760	אֲרַם צוֹבָה	Aram-zobah	Soba	Aram Tsoba	Arã-Zoba	琐巴的亚兰人，琐巴的亚兰，《思》祚巴的阿兰，祚巴的阿兰人，阿兰祚巴	瑣巴的亞蘭人，瑣巴的亞蘭，《思》祚巴的阿蘭，祚巴的阿蘭人，阿蘭祚巴
H0761	אֲרַמִּי	Aramean	Arameo	Araméen	arameu	亚兰人，叙利亚人，《思》阿兰人	亞蘭人，敘利亞人，《思》阿蘭人
H0762	אֲרָמִית	Aramaic	arameo	araméen	aramaico	亚兰语，亚兰文，《思》阿剌美话，阿刺美语言	亞蘭語，亞蘭文，《思》阿剌美話，阿刺美語言
H0763	אֲרַם נַהֲרַיִם	Mesopotamia	Mesopotamia	Aram Naharaïm	Arã Naaraim	美索不达米亚，《思》美索不达米亚，厄东，阿兰	美索不達米亞，《思》美索不達米亞，厄東，阿蘭
H0764	אַרְמֹנִי	Armoni	Armoni	Armoni	Armoni	亚摩尼，《思》阿尔摩尼	亞摩尼，《思》阿爾摩尼
H0765	אֲרָן	Aran	Arán	Arân	Arã	亚兰，《思》阿郎	亞蘭，《思》阿郎
H0766	אֹרֶן	fir	pino	pin	pinheiro	松树；冷杉树；香柏树；月桂树	松樹；冷杉樹；香柏樹；月桂樹
H0767	אֹרֶן	Oren	Orén *				
H0768	אַרְנֶבֶת	hare	liebre	lièvre	lebre	兔子	兔子
H0769	אַרְנוֹן	Arnon	Arnón	Arnon	Arnom	亚嫩河，《思》阿尔农河	亞嫩河，《思》阿爾農河
H0770	אַרְנָן	Arnan	Arnán	Arnân	Arnã	亚珥难，《思》阿尔难	亞珥難，《思》阿爾難
H0771	אׇרְנָן	Ornan	Ornán	Ornân	Ornã	阿珥楠，《现》亚劳拿，《思》敖尔难	阿珥楠，《現》亞勞拿，《思》敖爾難
H0772	אֲרַע	earth	tierra *				
H0773	אַרְעִית	bottom	fondo *				
H0774	אַרְפָּד	Arpad	Arfad	Arpad	Arpade	亚珥拔，《思》阿帕得，阿尔帕得	亞珥拔，《思》阿帕得，阿爾帕得
H0775	אַרְפַּכְשַׁד	Arpachshad	Arfaxad	Arpakshad	Arfaxade	亚法撒，《思》阿帕革沙得	亞法撒，《思》阿帕革沙得
H0776	אֶרֶץ	land	tierra	terre	terra	地；地区；天下；地上；世上	地；地區；天下；地上；世上
H0777	אַרְצָא	Arza	Arza	Artsa	Arsa	亚杂，《思》阿尔匝	亞雜，《思》阿爾匝
H0778	אֲרַק	earth	tierra *				
H0779	אָרַר	curse	maldecir	maudire	amaldiçoar	咒诅，诅咒；发出诅咒；咒骂；怒骂；惩罚	咒詛，詛咒；發出詛咒；咒罵；怒罵；懲罰
H0780	אֲרָרַט	Ararat	Ararat	Ararat	Ararate	亚拉腊，《思》阿辣辣特	亞拉臘，《思》阿辣辣特
H0781	אָרַשׂ	betroth	desposar	contracter un mariage	desposar	聘定；订婚	聘定；訂婚
H0782	אֲרֶשֶׁת	request	petición	requête	pedido	要求；求	要求；求
H0783	אַרְתַּחְשַׁשְׁתָּא	Artaxerxes	Artajerjes	Artaxerxès	Artaxerxes	亚达薛西，《思》阿塔薛西斯	亞達薛西，《思》阿塔薛西斯
H0784	אֵשׁ	fire	fuego	feu	fogo	火	火
H0785	אֵשׁ	fire	fuego *				
H0786	אִשׁ	there is	hay	il y a	há	是；有	是；有
H0787	אֹשׁ	foundation	fundamento *				
H0788	אַשְׁבֵּל	Ashbel	Asbel	Ashbel	Asbel	亚实别，《思》阿市贝耳	亞實別，《思》阿市貝耳
H0789	אַשְׁבֵּלִי	Ashbelite	Asbelita	Ashbélite	asbelita	亚实别人，亚实别族，《思》阿市贝耳家族	亞實別人，亞實別族，《思》阿市貝耳家族
H0790	אֶשְׁבָּן	Eshban	Esbán	Eshbân	Esbã	伊是班，《思》厄市班	伊是班，《思》厄市班
H0791	אַשְׁבֵּעַ	ashbea	Asbea *				
H0792	אֶשְׁבַּעַל	Eshbaal	Es-baal	Eshbaal	Esbaal	伊施巴力，《思》依市巴耳	伊施巴力，《思》依市巴耳
H0793	אֶשֶׁד	slope	pendiente	pente	encosta	山坡，斜坡	山坡，斜坡
H0794	אֲשֵׁדָה	slope	ladera *				
H0795	אַשְׁדּוֹד	Ashdod	Asdod	Ashdod	Asdode	亚实突，《思》阿市多得	亞實突，《思》阿市多得
H0796	אַשְׁדּוֹדִי	Ashdod	Asdodita	Ashdodite	asdodita	亚实突人，《思》阿市多得人	亞實突人，《思》阿市多得人
H0797	אַשְׁדּוֹדִית	Ashdod	lengua de Asdod	ashdodite	asdodita	亚实突话，《思》阿市多得话	亞實突話，《思》阿市多得話
H0798		Slopes (of Pisgah)	laderas *				
H0799	אֶשְׁדָּת	fiery	fuego *				
H0800	אֶשָּׁה	fire	fuego *				
H0801	אִשָּׁה	food offering	ofrenda quemada	offrande consumée par le feu	oferta queimada	火祭	火祭
H0802	אִשָּׁה	woman	mujer	femme	mulher	女人，妇人，妇女；妻子	女人，婦人，婦女；妻子
H0803	אֲשׁוּיָה	foundation	baluarte	rempart	muralha	壁垒；外郭；高楼；堡垒	壁壘；外郭；高樓；堡壘
H0804	אַשּׁוּר	Assyria	Asur	Assour	Assur	亚述	亞述
H0805	אֲשׁוּרִי	Asshurim	Asurim *				
H0806	אַשְׁחוּר	Ashhur	Asur	Ashehour	Azur	亚施户，《思》阿市胡尔	亞施戶，《思》阿市胡爾
H0807	אַשִׁימָא	Ashima	Asima	Ashima	Asima	亚示玛，《思》阿史玛	亞示瑪，《思》阿史瑪
H0808	אָשִׁישׁ	foundation	pastel de pasas, torta de pasas	gâteau de raisin	bolo de passas	葡萄饼，葡萄干	葡萄餅，葡萄乾
H0809	אֲשִׁישָׁה	raisin bun	pasas *				
H0810	אֶשֶׁךְ	testicle	testículo	testicule	testículo	睾丸	睾丸
H0811	אֶשְׁכּוֹל	cluster	ramo	grappe	cacho	簇；串；挂；棵；束；丛	簇；串；掛；棵；束；叢
H0812	אֶשְׁכֹּל	Eshcol	Escol *				
H0813	אַשְׁכְּנַז	Ashkenaz	Askenaz	Ashkenaz	Asquenaz	亚实基拿，《思》阿市革纳次	亞實基拿，《思》阿市革納次
H0814	אֶשְׁכָּר	gift	ofrenda	présent	presente	礼物；交易付款；交换	禮物；交易付款；交換
H0815	אֵשֶׁל	tamarisk	tamarisco	tamaris	tamargueira	柳树	柳樹
H0816	אָשַׁם	be guilty	ser culpable	se rendre coupable, se mettre en tort, avoir tort	ser culpado	有了罪；犯了罪；得罪；有错；应付责任	有了罪；犯了罪；得罪；有錯；應付責任
H0817	אָשָׁם	guilt (offering)	culpable	culpabilité	culpa	有罪；罪过；过错	有罪；罪過；過錯
H0818	אָשֵׁם	guilty	culpable	coupable	culpado	有罪；犯了罪；错了	有罪；犯了罪；錯了
H0819	אַשְׁמָה	guiltiness	culpable	culpabilité	culpa	罪，罪孽；罪过；过错	罪，罪孽；罪過；過錯
H0820	אַשְׁמָן	strong	saludable	bien portant	forte	健康；强壮；肥壮；活力充沛；精力旺盛	健康；強壯；肥壯；活力充沛；精力旺盛
H0821	אַשְׁמֻרָה	watch	vigilia *				
H0822	אֶשְׁנָב	lattice	ventana enrejada	fenêtre à treillis	grades (da janela)	窗棂；窗格子；格子窗	窗櫺；窗格子；格子窗
H0823	אַשְׁנָה	Ashnah	Asena	Achna	Asná	亚实拿，《思》阿市纳	亞實拿，《思》阿市納
H0824	אֶשְׁעָן	Eshan	Esán	Èsheân	Esã	以珊，《思》厄商	以珊，《思》厄商
H0825	אַשָּׁף	enchanter	conjurador	conjureur, enchanteur, envoûteur	feiticeiro	术士；占卜家；法术师；魔法师；巫师	術士；占卜家；法術師；魔法師；巫師
H0826	אַשָּׁף	enchanter	mago *				
H0827	אַשְׁפָּה	quiver	aljaba	carquois	aljava (para flechas)	箭袋	箭袋
H0828	אַשְׁפְּנַז	Ashpenaz	Aspenaz	Ashpenaz	Aspenaz	亚施毗拿，《思》阿市培纳次	亞施毗拿，《思》阿市培納次
H0829	אֶשְׁפָּר	raisin bun	pastel de dátiles	gâteau de dattes	bolo de tâmaras	枣子饼	棗子餅
H0830	אַשְׁפֹּת	Dung (Gate)	muladar	fumier	lixão	粪堆；垃圾堆；废物堆	糞堆；垃圾堆；廢物堆
H0831	אַשְׁקְלוֹן	Ashkelon	Ascalón	Ashqelôn	Ascalom	亚实基伦，《思》阿市刻隆	亞實基倫，《思》阿市刻隆
H0832	אֶשְׁקְלוֹנִי	Ashkelonite	Ascaloneo	Ashqelonite	asquelonita	亚实基伦人；来自亚实基伦的	亞實基倫人；來自亞實基倫的
H0833	אָשַׁר	bless	ir por el camino (de)	suivre la voie (de), se comporter (avec, comme)	andar > comportar-se como	以……方式行事；走……的道路	以……方式行事；走……的道路
H0834	אֲשֶׁר	which	eso, esa	qui	que	就是；这，那；那里；那时；怎样	就是；這，那；那裡；那時；怎樣
H0835	אֶשֶׁר	blessed	bienaventurado *				
H0836	אָשֵׁר	Asher	Aser	Aser	Aser	亚设，《思》阿协尔	亞設，《思》阿協爾
H0837	אֹשֶׁר	happy	felicidad	heureux, béni	felicidade	幸福；有福的	幸福；有福的
H0838	אָשֻׁר	step	paso	pas, trace	passos	脚步，脚踪；步伐，步履；路径，道路	腳步，腳蹤；步伐，步履；路徑，道路
H0839	אֲשֻׁר	pine	abeto *				
H0840	אֲשַׂרְאֵל	Asarel	Asarel	Asareël	Asareel	亚撒列，《思》阿撒勒耳	亞撒列，《思》阿撒勒耳
H0841	אֲשַׂרְאֵלָה	Asharelah	Asarela	Asareéla	Asarela	亚萨利拉，《思》阿沙勒拉	亞薩利拉，《思》阿沙勒拉
H0842	אֲשֵׁרָה	Asherah	Asera	Ashéra	Aserá	亚舍拉，《思》阿舍辣	亞舍拉，《思》阿舍辣
H0843	אָשֵׁרִי	Asherite	Aserita	Asérite	aserita	亚设人，《思》阿协尔人	亞設人，《思》阿協爾人
H0844	אַשְׂרִיאֵל	Asriel	Asriel	Asriel	Asriel	亚斯烈，《思》阿斯黎耳	亞斯烈，《思》阿斯黎耳
H0845	אַשְׂרִאֵלִי	Asrielite	Asrielita	Asriélite	asrielita	亚斯烈族，《思》阿斯黎耳家族	亞斯烈族，《思》阿斯黎耳家族
H0846	אֻשַּׁרְנָא	wall	muralla *				
H0847	אֶשְׁתָּאֹל	Eshtaol	Estaol	Eshtaol	Estaol	以实陶，《思》厄市陶耳	以實陶，《思》厄市陶耳
H0848	אֶשְׁתָּאֻלִי	Eshtaolite	Estaolita	Eshtaolite	estaolita	以实陶人，《思》厄市陶耳人	以實陶人，《思》厄市陶耳人
H0849	אֶשְׁתַּדּוּר	sedition	sedición *				
H0850	אֶשְׁתּוֹן	Eshton	Estón	Eshtôn	Estom	伊施屯，《思》厄舍东	伊施屯，《思》厄舍東
H0851	אֶשְׁתְּמֹעַ	Eshtemoa	Eshtemoa *				
H0852	אָת	sign	señal *				
H0853	אֵת	[Obj.]	azadón	pioche	enxada	鹤嘴锄；锄头；犁头	鶴嘴鋤；鋤頭；犂頭
H0854		with	con *				
H0855	אֵת	plowshare	reja *				
H0856	אֶתְבַּעַל	Ethbaal	Etbaal	Etbaal	Etbaal	谒巴力，《思》厄特巴耳	謁巴力，《思》厄特巴耳
H0857	אָתָה	come	venir	venir	vir	来，前来；回来；出来	來，前來；回來；出來
H0858	אָתָה	come	venir *				
H0859	אַתָּה	you(m.s.)	tú *				
H0860	אָתוֹן	she-ass	burra	ânesse	jumenta	母驴；驴	母驢；驢
H0861	אַתּוּן	furnace	horno *				
H0862	אַתּוּק	gallery	galería	galerie	galeria	楼廊；走廊；壁架	樓廊；走廊；壁架
H0863	אִתַּי	Ittai	Itai	Ittaï	Itai	以太，《思》依泰	以太，《思》依泰
H0864	אֵתָם	Etham	Etam	Étam	Etã	以倘，《思》厄堂	以倘，《思》厄堂
H0865	אֶתְמוֹל	previously	ayer	hier	ontem	昨天	昨天
H0866	אֶתְנָה	wages	don	don	presente	礼物；赏赐；酬报	禮物；賞賜；酬報
H0867	אֶתְנִי	Ethni	Etni	Etni	Etni	伊特尼，《思》厄特尼	伊特尼，《思》厄特尼
H0868	אֶתְנַן	wages	don	don	presente	礼物；赏赐；赏金	禮物；賞賜；賞金
H0869	אֶתְנַן	Ethnan	Etnán *				
H0870	אֲתַר	place	lugar *				
H0871	אֲתָרִים	Atharim	Atarín	Atarim	Atarim	亚他林，《思》阿塔陵	亞他林，《思》阿塔陵
H0872	בְּאָה	entrance	entrada	entrée	entrada	门口；进口	門口；進口
H0873	בִּאוּשׁ	bad	malo *				
H0874	בָּאַר	make plain	aclarar, dejar claro	clarifier	escrever (de modo bem legível)	解释；讲解；清楚地写；明明地写	解釋；講解；清楚地寫；明明地寫
H0875	בְּאֵר	well	fuente	puits, abreuvoir, source	poço	井；饮水处；泉源	井；飲水處；泉源
H0876	בְּאֵר	Beer	pozo *				
H0877	בֹּאר	cistern	Corasán	Bor-Ashân	Borasã	坡拉珊，《现》歌拉珊，《思》波尔阿商	坡拉珊，《現》歌拉珊，《思》波爾阿商
H0878	בְּאֵרָא	Beera	Beera	Bééra	Beerá	比拉，《思》贝厄辣	比拉，《思》貝厄辣
H0879	בְּאֵר אֵלִים	Beer-elim	Beer-elim	Béer-Élim	Beer-Elim	比珥‧以琳，《思》贝尔厄林	比珥‧以琳，《思》貝爾厄林
H0880	בְּאֵרָה	Beerah	Beera	Bééra	Beerá	备拉，《思》贝厄辣	備拉，《思》貝厄辣
H0881	בְּאֵרוֹת	Beeroth	Beerot	Bééroth	Beerote	比录，《思》贝洛特	比錄，《思》貝洛特
H0882	בְּאֵרִי	Beeri	Beeri	Bééri	Beeri	比利，《思》贝厄黎	比利，《思》貝厄黎
H0883	בְּאֵר לַחַי רֹאִי	Beer-lahai-roi	Pozo del Viviente Que Me Ve	Béer-Lahaï- Roï	Beer-Laai-Roi	庇耳‧拉海‧莱，《思》拉海洛依	庇耳‧拉海‧萊，《思》拉海洛依
H0884	בְּאֵר שֶׁבַע	Beersheba	Berseba	Béer-Shéba	Berseba	别是巴，《思》贝尔舍巴，誓约井	別是巴，《思》貝爾舍巴，誓約井
